test_name,planner_name,num_agents,planning_time,plan_cost,num_hl_expanded,num_hl_generated,num_ll_expanded,num_ll_generated,hl_focal_weight,ll_focal_weight,wastar_weight,num_collision_checks,description,stamp
test216,EAECBS_L2_HEURISTIC,2,1.07113,7.67945,5,10,163,-1,1.3,1.3,55,30541,from left_push_down to random2,2024-10-30T01:04:30
test217,EAECBS_L2_HEURISTIC,2,0.334405,10.0705,0,0,57,-1,1.3,1.3,55,16670,from left_push_down to random3,2024-10-30T01:04:38
test218,EAECBS_L2_HEURISTIC,2,0.418127,9.93092,0,0,58,-1,1.3,1.3,55,17022,from left_push_down to random4,2024-10-30T01:04:47
test219,EAECBS_L2_HEURISTIC,2,0.562308,14.3815,0,0,93,-1,1.3,1.3,55,27059,from left_push_down to random5,2024-10-30T01:04:56
test220,EAECBS_L2_HEURISTIC,2,0.340126,11.3446,0,0,62,-1,1.3,1.3,55,18101,from left_push_down to random6,2024-10-30T01:05:05
test221,EAECBS_L2_HEURISTIC,2,0.422451,6.70206,0,0,77,-1,1.3,1.3,55,21563,from left_push_down to right_push_down,2024-10-30T01:05:13
test222,EAECBS_L2_HEURISTIC,2,0.131903,4.17134,0,0,22,-1,1.3,1.3,55,6429,from left_push_down to left_forward,2024-10-30T01:05:22
test223,EAECBS_L2_HEURISTIC,2,0.327148,8.88373,0,0,54,-1,1.3,1.3,55,15785,from left_push_down to right_forward,2024-10-30T01:05:30
test224,EAECBS_L2_HEURISTIC,2,0.247715,7.53982,0,0,44,-1,1.3,1.3,55,12812,from right_push_down to ready_pose,2024-10-30T01:05:39
test225,EAECBS_L2_HEURISTIC,2,0.196921,5.18363,0,0,30,-1,1.3,1.3,55,8804,from right_push_down to left_push,2024-10-30T01:05:47
test226,EAECBS_L2_HEURISTIC,2,0.336377,5.91667,1,2,54,-1,1.3,1.3,55,14611,from right_push_down to right_push,2024-10-30T01:05:56
test227,EAECBS_L2_HEURISTIC,2,0.177505,4.93928,0,0,30,-1,1.3,1.3,55,8846,from right_push_down to left_push_up,2024-10-30T01:06:05
test228,EAECBS_L2_HEURISTIC,2,0.353303,5.81195,2,4,62,-1,1.3,1.3,55,14825,from right_push_down to right_push_up,2024-10-30T01:06:12
test229,EAECBS_L2_HEURISTIC,2,0.461777,7.74926,0,0,58,-1,1.3,1.3,55,16886,from right_push_down to left_rotated,2024-10-30T01:06:21
test230,EAECBS_L2_HEURISTIC,2,0.130783,4.4855,0,0,23,-1,1.3,1.3,55,6715,from right_push_down to right_rotated,2024-10-30T01:06:29
test231,EAECBS_L2_HEURISTIC,2,0.365857,6.9115,1,2,55,-1,1.3,1.3,55,15211,from right_push_down to random1,2024-10-30T01:06:38
test232,EAECBS_L2_HEURISTIC,2,0.261921,6.98132,0,0,43,-1,1.3,1.3,55,12540,from right_push_down to random2,2024-10-30T01:06:46
test233,EAECBS_L2_HEURISTIC,2,1.39361,10.8734,6,12,239,-1,1.3,1.3,55,42587,from right_push_down to random3,2024-10-30T01:06:56
test234,EAECBS_L2_HEURISTIC,2,0.34373,10.0705,0,0,58,-1,1.3,1.3,55,16872,from right_push_down to random4,2024-10-30T01:07:04
test235,EAECBS_L2_HEURISTIC,2,0.33815,11.3446,0,0,62,-1,1.3,1.3,55,18023,from right_push_down to random5,2024-10-30T01:07:13
test236,EAECBS_L2_HEURISTIC,2,0.573464,14.1372,0,0,96,-1,1.3,1.3,55,27852,from right_push_down to random6,2024-10-30T01:07:22
test237,EAECBS_L2_HEURISTIC,2,0.241017,5.65487,0,0,44,-1,1.3,1.3,55,12824,from right_push_down to left_push_down,2024-10-30T01:07:31
